,,CZK → USD,$0.05,,,,,
,"A lot of the prices are just estimates
as prices may vary",,,"- means that 
I’ll buy it myself",,,,
Group/Assembly,Item,Qty,"All bells and whistles
Price",Build with the help of HC,Sourced,Source,Link,
Electronics / Motors,DIY 2ch_Cheap-FOCer-2 VESC,2,$200.00,-Scrap Hvr ESC,,"DIY, assembly",https://github.com/Tomas-Kuchta-FPV/2ch_Cheap-FOCer-2,
Electronics / Motors,Hoverboard motor,4,$300.00,-,1 pair from Vehykl,Second hand,https://www.bazos.cz/search.php?hledat=hoverboard&rubriky=www&hlokalita=&humkreis=25&cenaod=&cenado=&Submit=Hledat&order=&kitx=ano,
Electronics / Motors,Hoverboard ESC,2,,,,Second hand,https://www.bazos.cz/search.php?hledat=hoverboard&rubriky=www&hlokalita=&humkreis=25&cenaod=&cenado=&Submit=Hledat&order=&kitx=ano,
Electronics / Motors,RC transmitter - DUMBORC X6P,1,$55.15,-,From home,Aliexpress,https://www.aliexpress.com/item/1005012571091193.html,
Electronics / Control,RC reciever - P6F receiver,1,$20.72,$20.72,,Aliexpress,https://www.aliexpress.com/item/1005012571091193.html,
Electronics / Control,>50V max Buck convertor,1,$10.70,$10.70,,Aliexpress,https://www.aliexpress.com/item/1005012591907849.html,
,,,,,,,,
Electronics / Battery,"XT90-S anti-spark connector – Female, PM",1,$6.50,$6.50,,Bighobby,"https://www.bighobby.cz/konektory-xt90-s-anti-spark--par-/, https://www.aliexpress.com/item/1005012875664241.html",
Electronics / Battery,XT90 connector – Female,2,$6.30,$6.30,,Bighobby,https://www.bighobby.cz/konektory-xt90-amass-samec-samice-/,
Electronics / Battery,XT90 connector – Male,2,,,,Aliexpress,https://www.aliexpress.com/item/1005010127869530.html,
Electronics / Battery,XT60E_F panel mount,1,,-,,,,
Electronics / Battery,XT60 connector pairs,2,$8.28,-,From home,Aliexpress,https://www.aliexpress.com/item/1005010509308078.html,
Electronics / Battery,10A automobile fuse,1,$5.81,$5.81,,Aliexpress,https://www.aliexpress.com/item/1005004002260386.html,
,,,,,,,,
Electronics / Battery,Eve LF32 - 32Ah - LiFePO4 3.2V prismatic,12,$204.00,$204.00,,Mivy energy cz,https://www.mivvyenergy.cz/cs/bateriove-clanky/clanek-lifepo4-gotion-32v-27ah-grade-a-r234-ix25.html,
Electronics / Battery,Smart BMS – JK-B1A20S15P-C,1,$69.00,$69.00,,Aliexpress,https://www.aliexpress.com/item/1005009331398999.html,
Electronics / Battery,Heavy Gauge Silicone Wire,3m,$11.40,$11.40,,Bighobby,https://www.bighobby.cz/silikonovy-kabel-12-awg-cerveny--1-metr-/,
,Bighobby shipping,,$3.00,,,Bighobby,,
,Subtotal,,$900.86,$334.43,,,,
,,,,,,,,
HW / Frame,20x20 extrusion BH 20-6 or Vslot,0.2m,$51.55,$51.55,,vsk profily,https://www.vsk-profily.cz/hlinikovy-profil-bh-20-6-20x20/,
HW / Frame,20x40 extrusion BH 20-6 or Vslot,2.1m,,-,,vsk profily,https://www.vsk-profily.cz/hlinikovy-profil-bh-20-6-20x40/,
,vsk profily shipping,,$7.75,$7.75,,,,
HW / Frame,M5 T-slot nuts – S20-M5,62,$55.80,$14.70,,Aliexpress,"https://www.aliexpress.com/item/1005002373368590.html, https://www.vsk-profily.cz/matice-s-kulickou-serie-im-20-5-m5-galvanizovana/",
HW / Frame,Fasteners,,,"- I’ll source myself 
as I need some spares 😅",,Vrabec a Vrabec (WO VAT),https://shop.vrabecavrabec.cz/,
"HW / Frame, Deck","DIN 7991-10,9 zn M5x14",14,$0.55,-,,Vrabec a Vrabec (WO VAT),https://shop.vrabecavrabec.cz/cs/produkt/sroub-din-7991-109-zap-imb-zn-4?sid=5626,
"HW / Frame, B cover 14
HW / Axle holder, Hvr ESC 4 *2
HW / Axle holder, spring holder 12* 2",ISO 7380-10.9 bez límce Zn M5x8,46,$2.09,-,,Vrabec a Vrabec (WO VAT),https://shop.vrabecavrabec.cz/cs/produkt/sroub-iso-7380-109-uls-zn-20?sid=1951,
"HW / Frame, Axle connector",DIN 912-A2 M5x10,8,$0.25,-,,Vrabec a Vrabec (WO VAT),https://shop.vrabecavrabec.cz/cs/produkt/sroub-din-912-a2-m5x10?sid=7770,
HW / Hvr to axle conn,DIN 912-8.8 M5x14,8,$0.17,-,,Vrabec a Vrabec (WO VAT),https://shop.vrabecavrabec.cz/cs/produkt/sroub-din-912-88-79?sid=3447,
HW / Hvr to axle conn,DIN 912-10.9 zn M6x20,16,$1.46,-,,Vrabec a Vrabec (WO VAT),https://shop.vrabecavrabec.cz/cs/produkt/sroub-din-912-109-zn-14?sid=7532,
HW / Hvr to axle conn,ISO 7380 bez límce A2 M6x10,4,$0.27,-,,Vrabec a Vrabec (WO VAT),https://shop.vrabecavrabec.cz/cs/produkt/sroub-iso-7380-uls-a2-7?sid=4606,
HW / Axle holder,DIN 912-8.8 zn M6x60,4,$0.41,-,,Vrabec a Vrabec (WO VAT),https://shop.vrabecavrabec.cz/cs/produkt/sroub-din-912-88-zn-40?sid=1166,
"HW / Axle holder 4
HW / Base to Wheel holder 4",DIN 912-A2 M6x25,8,$0.67,-,,Vrabec a Vrabec (WO VAT),https://shop.vrabecavrabec.cz/cs/produkt/sroub-din-912-a2-9?sid=1275,
HW / Axle holder,DIN 125 polyamid M8,4,$0.49,-,,Vrabec a Vrabec (WO VAT),https://shop.vrabecavrabec.cz/cs/produkt/podlozka-din-125-polyamid-3?sid=4814,
HW / Axle holder,DIN 931-8.8 zn M8x60,2,$0.66,-,,Vrabec a Vrabec (WO VAT),https://shop.vrabecavrabec.cz/cs/produkt/sroub-din-931-88-zn-36?sid=1353,
HW / Axle holder,DIN 439-04 zn M8,2,$0.33,-,,Vrabec a Vrabec (WO VAT),https://shop.vrabecavrabec.cz/cs/produkt/matice-din-439-04-zn-m8?sid=786,
,Vrabec a Vrabec shipping,,$0.00,-,,,,
,,,,,,,,
HW / Frame – CNC,JLCcnc CNCed parts,,$330.00,-3d printed,,Partly 3d printed,,
"HW / Axle holder, plate",80x5,L 700,-,$8.24,,ehlinik,https://www.ehlinik.cz/hlinikova-tyc-plocha-80x5/pro-GMS0000101.html,
HW / Base to Wheel holder,40x25,L 500,$12.50,$14.89,,ehlinik,https://www.ehlinik.cz/hlinikova-tyc-plocha-40x25-6063/pro-6CT0000101.html,
,Ehlinik cuts,,,$1.82,,,,
,Ehlinik shipping,,$7.30,$7.30,,,,
,,,,,,,,
HW / Axle,Trampa Complete Springs Kit for 2 Trucks,,$29.50,$29.50,,mujboardshop cz,"https://www.mujboardshop.cz/MBS-TRUCK-4X-PRUZINY-d295.htm, https://trampa.co.uk/product/springs-for-2-trucks/, https://cityboarding.de/en/shop/trampa-spring-spring-trucks",
HW / Deck,Plywood,23x80cm,$72.90,-,From home,Pro-doma,https://www.pro-doma.cz/preklizka-vodovzdorna-folie-hladka-hladka-topol-2500-mm,
